Date,Amount,Category,Description

2023-01-01,50.00,Groceries,Supermarket purchase
2023-01-02,20.00,Transport,Gasoline for car
2023-01-03,12.99,Entertainment,Movie streaming subscription
2023-01-04,110.00,Rent,Monthly apartment rent
2023-01-05,6.50,Food,Coffee and sandwich
2023-01-06,40.00,Health,Doctor's visit copay
2023-01-07,30.00,Utilities,Electricity bill
2023-01-08,19.00,Entertainment,Online gaming subscription
2023-01-09,30.00,Groceries,Weekly grocery shopping
2023-01-10,4.00,Food,Snack at convenience store
2023-01-11,9.50,Entertainment,Music streaming service
2023-01-12,55.00,Transport,Monthly bus pass
2023-01-13,70.00,Shopping,New shoes
2023-01-14,45.00,Health,Gym membership
2023-01-15,100.00,Rent,Partial rent payment
2023-01-16,28.50,Groceries,Supermarket purchase
2023-01-17,16.75,Transport,Taxi fare
2023-01-18,8.99,Entertainment,E-book purchase
2023-01-19,32.00,Shopping,New jeans
2023-01-20,11.99,Food,Lunch at a restaurant
2023-01-21,13.50,Entertainment,Movie ticket
2023-01-22,140.00,Rent,Monthly apartment rent
2023-01-23,18.00,Utilities,Water bill
2023-01-24,45.99,Shopping,New backpack
2023-01-25,18.50,Groceries,Weekly grocery shopping
2023-01-26,3.50,Food,Coffee to-go
2023-01-27,13.99,Entertainment,Online movie rental
2023-01-28,20.00,Transport,Gasoline for car
2023-01-29,25.99,Shopping,Winter coat
2023-01-30,75.00,Health,Pharmacy purchase
2023-01-31,180.00,Rent,Monthly apartment rent
2023-02-01,21.00,Groceries,Supermarket purchase
2023-02-02,8.99,Entertainment,Music streaming service
2023-02-03,14.00,Food,Takeout dinner
2023-02-04,28.00,Transport,Train ticket
2023-02-05,42.50,Groceries,Weekly grocery shopping
2023-02-06,23.99,Shopping,New headphones
2023-02-07,12.00,Entertainment,Movie ticket
2023-02-08,85.00,Rent,Partial rent payment
2023-02-09,30.75,Health,Dental check-up
2023-02-10,55.00,Transport,Monthly bus pass
2023-02-11,10.50,Food,Lunch at a café
2023-02-12,22.00,Groceries,Supermarket purchase
2023-02-13,16.99,Entertainment,Online game purchase
2023-02-14,75.00,Shopping,New jacket
2023-02-15,18.99,Groceries,Weekly grocery shopping
2023-02-16,4.50,Food,Snack at a convenience store
2023-02-17,16.99,Entertainment,Movie streaming subscription
2023-02-18,23.00,Transport,Gasoline for car
2023-02-19,45.00,Shopping,New pair of shoes
2023-02-20,140.00,Rent,Monthly apartment rent
2023-02-21,30.75,Groceries,Supermarket purchase
2023-02-22,12.50,Food,Dinner at a restaurant
2023-02-23,55.00,Transport,Monthly bus pass
2023-02-24,7.99,Entertainment,Music streaming service
2023-02-25,22.00,Shopping,New book
2023-02-26,35.00,Health,Doctor's visit copay
2023-02-27,140.00,Rent,Monthly apartment rent
2023-02-28,25.50,Groceries,Weekly grocery shopping
2023-03-01,40.00,Shopping,New backpack
2023-03-02,55.00,Transport,Monthly bus pass
2023-03-03,20.99,Entertainment,Concert ticket
2023-03-04,9.50,Food,Lunch at a café
2023-03-05,32.00,Health,Pharmacy purchase
2023-03-06,45.00,Shopping,New shoes
2023-03-07,13.50,Entertainment,Movie ticket
2023-03-08,20.75,Groceries,Supermarket purchase
2023-03-09,13.50,Food,Dinner at a restaurant
2023-03-10,20.00,Transport,Gasoline for car
2023-03-11,30.00,Shopping,New jeans
2023-03-12,55.00,Health,Gym membership
2023-03-13,110.00,Rent,Monthly apartment rent
2023-03-14,17.50,Groceries,Weekly grocery shopping
2023-03-15,7.99,Entertainment,Music streaming service
2023-03-16,13.00,Food,Takeout dinner
2023-03-17,28.00,Transport,Train ticket
2023-03-18,40.00,Shopping,New headphones
2023-03-19,10.99,Entertainment,E-book purchase
2023-03-20,140.00,Rent,Monthly apartment rent
2023-03-21,17.99,Groceries,Supermarket purchase
2023-03-22,20.00,Transport,Gasoline for car
2023-03-23,12.50,Food,Coffee and pastry
2023-03-24,16.99,Entertainment,Movie streaming subscription
2023-03-25,18.00,Groceries,Weekly grocery shopping
2023-03-26,22.00,Shopping,New book
2023-03-27,30.00,Health,Doctor's visit copay
2023-03-28,140.00,Rent,Monthly apartment rent
2023-03-29,27.50,Groceries,Supermarket purchase
2023-03-30,20.00,Transport,Gasoline for car
2023-03-31,13.50,Entertainment,Movie ticket
2023-04-01,55.00,Transport,Monthly bus pass
2023-04-02,7.99,Entertainment,Music streaming service
2023-04-03,110.00,Rent,Monthly apartment rent
2023-04-04,35.00,Shopping,New jacket
2023-04-05,8.50,Food,Coffee to-go
2023-04-06,32.00,Health,Pharmacy purchase
2023-04-07,22.00,Shopping,New book
2023-04-08,13.00,Entertainment,Movie ticket
2023-04-09,18.00,Groceries,Supermarket purchase
2023-05-01,28.00,Transport,Train ticket
2023-05-02,19.50,Groceries,Weekly grocery shopping
2023-05-03,11.99,Entertainment,Music streaming service
2023-05-04,35.00,Health,Doctor's visit copay
2023-05-05,22.00,Food,Takeout dinner
2023-05-06,55.00,Transport,Monthly bus pass
2023-05-07,45.00,Shopping,New pair of shoes
2023-05-08,17.99,Entertainment,E-book purchase
2023-05-09,13.50,Food,Lunch at a café
2023-05-10,32.00,Shopping,New jacket
2023-05-11,140.00,Rent,Monthly apartment rent
2023-05-12,22.00,Groceries,Supermarket purchase
2023-05-13,16.75,Transport,Taxi fare
2023-05-14,12.50,Food,Dinner at a restaurant
2023-05-15,4.50,Entertainment,Movie rental
2023-05-16,18.00,Groceries,Weekly grocery shopping
2023-05-17,55.00,Health,Pharmacy purchase
2023-05-18,7.99,Entertainment,Music streaming service
2023-05-19,22.00,Shopping,New book
2023-06-01,20.00,Groceries,Supermarket purchase
2023-06-02,35.00,Shopping,New pair of shoes
2023-06-03,12.99,Entertainment,Music streaming service
2023-06-04,50.00,Health,Doctor's visit copay
2023-06-05,25.00,Food,Lunch at a café
2023-06-06,60.00,Transport,Monthly bus pass
2023-06-07,22.00,Groceries,Weekly grocery shopping
2023-06-08,35.00,Shopping,New jacket
2023-06-09,16.75,Entertainment,Movie ticket
2023-06-10,30.00,Transport,Train ticket
2023-06-11,12.50,Food,Coffee and pastry
2023-06-12,140.00,Rent,Monthly apartment rent
2023-06-13,25.00,Shopping,New book
2023-06-14,18.75,Entertainment,Movie streaming subscription
2023-06-15,22.00,Groceries,Supermarket purchase
2023-06-16,50.00,Health,Pharmacy purchase
2023-06-17,28.00,Food,Takeout dinner
2023-06-18,15.00,Entertainment,Movie ticket
2023-06-19,30.00,Shopping,New headphones
2023-06-20,22.00,Groceries,Weekly grocery shopping
2023-06-21,35.00,Transport,Gasoline for car
2023-06-22,28.00,Health,Pharmacy purchase
2023-06-23,16.75,Entertainment,E-book purchase
2023-06-24,30.00,Shopping,New jeans
2023-06-25,140.00,Rent,Monthly apartment rent
2023-06-26,22.00,Groceries,Supermarket purchase
2023-06-27,15.00,Food,Lunch at a café
2023-06-28,18.75,Entertainment,Music streaming service
2023-06-29,30.00,Transport,Train ticket
2023-06-30,50.00,Health,Gym membership
2023-07-01,20.00,Groceries,Supermarket purchase
2023-07-02,35.00,Shopping,New pair of shoes
2023-07-03,12.99,Entertainment,Music streaming service
2023-07-04,50.00,Health,Doctor's visit copay
2023-07-05,25.00,Food,Lunch at a café
2023-07-06,60.00,Transport,Monthly bus pass
2023-07-07,22.00,Groceries,Weekly grocery shopping
2023-07-08,35.00,Shopping,New jacket
2023-07-09,16.75,Entertainment,Movie ticket
2023-07-10,30.00,Transport,Train ticket
2023-07-11,12.50,Food,Coffee and pastry
2023-07-12,140.00,Rent,Monthly apartment rent
